id,text,annotation,iteration,ka_mean,ka_lower,ka_upper
0,Covid,48,0,,,
1,Immigration,N/A,0,,,
2,Overpopulation,40 Environment,0,,,
3,cost of living energy prices,32,0,,,
4,The cost of living,32,0,,,
5,Economy,26,0,,,
6,Covid 19,48,0,,,
7,Covid,48,0,,,
8,Coronarvius,48,0,,,
9,Covid,48,0,,,
10,Covid,48,0,,,
11,Covid-19,48,0,,,
12,Covid,48,0,,,
13,coved19,48,0,,,
14,Covid,48,0,,,
15,economy,26,0,,,
16,Energy prices,32,0,,,
17,Cost of living.,32,0,,,
18,Covid-19,48,0,,,
19,Climate change,40,0,,,
20,Pandemic,48,0,,,
21,Global warming,40 Environment,0,,,
22,Coronavirus,48,0,,,
23,illegal migrants,12,0,,,
24,Coronavirus,48,0,,,
25,Covid-19,48,0,,,
26,Covid 19,48,0,,,
27,Financial situations,32,0,,,
28,Covid,48,0,,,
29,Corona virus pandemic,48,0,,,
30,Covid,48,0,,,
31,Economic recovery,26,0,,,
32,eradicating Covid,48,0,,,
33,consequences of brexit/Russian aggression,15,0,,,
34,covid,48,0,,,
35,Brexit,15,0,,,
36,Cost of living,32,0,,,
37,immigration,N/A,0,,,
38,Economy,26,0,,,
39,Brexit.,15,0,,,
40,Climate change,40,0,,,
41,Covid,48,0,,,
42,Pandemic,48,0,,,
43,Cost of Living,Living costs,0,,,
44,Covid,48,0,,,
45,Cost of Living,Living costs,0,,,
46,Cost of living crisis,32,0,,,
47,Climate change,40,0,,,
48,Covid,48,0,,,
49,illegal immigration,12,0,,,
50,Environment,"""The most important issue facing the country is the urgent need to address climate change and protect our environment for future generations.""",0,,,
51,Covid,48,0,,,
52,COVID,48,0,,,
53,Covid,48,0,,,
54,Rising energy costs.,32,0,,,
55,Cost of living,32,0,,,
56,Covid,48,0,,,
57,COVID 19,48,0,,,
58,Covid,48,0,,,
59,Covid,48,0,,,
60,Inaction on climate change,40 Environment,0,,,
61,Cv19,48,0,,,
62,Economy,26,0,,,
63,the economy,26,0,,,
64,Brexit,15,0,,,
65,omnicrom virus,48,0,,,
66,The economy,26,0,,,
67,Cost of living,32,0,,,
68,Cost of living and paying bills,32,0,,,
69,ECONOMY RISING PRICES,32,0,,,
70,Cost of living crisis,32,0,,,
71,COVID-19,Respond 48 for Coronavirus,0,,,
72,covid,48,0,,,
73,Covid 19,48,0,,,
74,Financial,Living costs,0,,,
75,Cost of living,32,0,,,
76,Climate change,40,0,,,
77,The economy,26,0,,,
78,Covid,48,0,,,
79,Covid,48,0,,,
80,Environmental,"- ""Climate change and protecting the environment for future generations.""
- ""The degradation of our natural resources and the impact of pollution on our health.""
- ""Preserving biodiversity and addressing the effects of deforestation and habitat destruction.""",0,,,
81,Economy,26,0,,,
82,Covid 19,48,0,,,
83,Cost of living,32,0,,,
84,Coronavirus,48,0,,,
85,COVID-19,48,0,,,
86,economic recovery,26,0,,,
87,Economy,26,0,,,
88,Cost of living,32,0,,,
89,Economy,26,0,,,
90,Cost of living,32,0,,,
91,Covid,48,0,,,
92,Cost of living,32,0,,,
93,Covid,48,0,,,
94,Covid,48,0,,,
95,Covid,48,0,,,
96,"Keeping covid at bay,unlocking the country",48 - Coronavirus,0,,,
97,Covid,48,0,,,
98,immigration,12,0,,,
99,Climate change,40,0,,,
100,Environment,"- ""Climate change and protecting the environment for future generations.""
- ""The degradation of our natural resources and the impact of pollution on our health.""
- ""Preserving biodiversity and addressing the effects of deforestation and habitat destruction.""
- ""The need for sustainable energy sources and reducing our carbon footprint.""
- ""Ensuring clean air and water for all citizens.""",0,,,
101,Rising costs,32,0,,,
102,covid,48,0,,,
103,Cost of living,32,0,,,
104,Corona virus,48,0,,,
105,The cost of living crisis,32,0,,,
106,Immigration,"- ""We need to address the immigration crisis and secure our borders.""
- ""Immigration policies need to be reformed to ensure safety and fairness for all.""
- ""The influx of immigrants is putting a strain on our resources and economy.""",0,,,
107,Covid,48,0,,,
108,Economy,26,0,,,
109,covid,48,0,,,
110,Covid 19,48,0,,,
111,Covid,48,0,,,
112,Corona,48,0,,,
113,Economy,26,0,,,
114,Cost of living,32,0,,,
115,Economy,26,0,,,
116,The pandemic,48,0,,,
117,coronavirus,48,0,,,
118,Cost of living,32,0,,,
119,covid,48,0,,,
120,The EU,15,0,,,
121,The pandemic,48,0,,,
122,Energy prices,32,0,,,
123,Covid,48,0,,,
124,Covid,48,0,,,
125,Cost of living,32,0,,,
126,Covid,48,0,,,
127,covid,48,0,,,
128,Covid,48,0,,,
129,Global warming / Climate change,40,0,,,
130,Coping with Brexit,15,0,,,
131,Covid,48,0,,,
132,COVID-19,48,0,,,
133,Covid,48,0,,,
134,COVID,48,0,,,
135,Coronavirus,48,0,,,
136,covid,48,0,,,
137,Immigration,None,0,,,
138,Immigration,None,0,,,
139,Covid 19,48,0,,,
140,Covid,48,0,,,
141,Broken government promises and wasteful spending,26 - Economy-general,0,,,
142,COVID pandemic,48,0,,,
143,covid,48,0,,,
144,climate change,40,0,,,
145,Covid,48,0,,,
146,economy,26,0,,,
147,Brexit,15,0,,,
148,Covid,48,0,,,
149,Covid19,48,0,,,
150,Covid-19,48,0,,,
151,COVID,48,0,,,
152,Recovery from covid,48,0,,,
153,Covid,48,0,,,
154,covid,48,0,,,
155,Covid,48,0,,,
156,Climate change,40,0,,,
157,Brexit,15,0,,,
158,rising prices,32,0,,,
159,Immigration,N/A,0,,,
160,COVID-19,Respond 48 for Coronavirus.,0,,,
161,Imigrants,12,0,,,
162,rising prices/cost of living,32,0,,,
163,Brexit,15,0,,,
164,corona virus,48,0,,,
165,Cost of living,32,0,,,
