"Dataset","TotalRows","Frac_2%","Frac_5%","Frac_10%","Frac_25%","Frac_50%","Frac_75%"
"manifestos",276347,5527,13817,27635,69087,138174,207260
"manifestos_multi",276201,5524,13810,27620,69050,138100,207151
"mii",251378,5028,12569,25138,62844,125689,188534
"mii_long",233670,4673,11684,23367,58418,116835,175252
"news",409734,8195,20487,40973,102434,204867,307300
"news_short",84451,1689,4223,8445,21113,42226,63338
"stance",412362,8247,20618,41236,103090,206181,309272
"stance_long",264775,5296,13239,26478,66194,132388,198581
"synth",395563,7911,19778,39556,98891,197782,296672
"synth_short",374733,7495,18737,37473,93683,187366,281050
"tweets_pop",82405,1648,4120,8240,20601,41202,61804
"tweets_rd",82403,1648,4120,8240,20601,41202,61802
