"Dataset","TotalRows","total_input_tokens","total_output_tokens","avg_input_tokens_per_api_call","cost_input","cost_output","total_cost","Frac_2%","Frac_5%","Frac_10%","Frac_25%","Frac_50%","Frac_75%"
"manifestos",276347,25968922,276347,94,12.984461,0.4145205,13.3989815,5527,13817,27635,69087,138174,207260
"manifestos_multi",276201,25954819,276201,94,12.9774095,0.4143015,13.391711,5524,13810,27620,69050,138100,207151
"mii",251378,458994,251378,2,0.229497,0.377067,0.606564,5028,12569,25138,62844,125689,188534
"mii_long",233670,462566,233670,2,0.231283,0.350505,0.581788,4673,11684,23367,58418,116835,175252
"news",409734,198099296,409734,483,99.049648,0.614601,99.664249,8195,20487,40973,102434,204867,307300
"news_short",84451,10257657,84451,121,5.1288285,0.1266765,5.255505,1689,4223,8445,21113,42226,63338
"stance",412362,6881473,412362,17,3.4407365,0.618543,4.0592795,8247,20618,41236,103090,206181,309272
"stance_long",264775,4459825,264775,17,2.2299125,0.3971625,2.627075,5296,13239,26478,66194,132388,198581
"synth",395563,16240554,395563,41,8.120277,0.5933445,8.7136215,7911,19778,39556,98891,197782,296672
"synth_short",374733,11604411,374733,31,5.8022055,0.5620995,6.364305,7495,18737,37473,93683,187366,281050
"tweets_pop",82405,3001132,82405,36,1.500566,0.1236075,1.6241735,1648,4120,8240,20601,41202,61804
"tweets_rd",82403,3001306,82403,36,1.500653,0.1236045,1.6242575,1648,4120,8240,20601,41202,61802
