temperature,ka_mean,frac,dataset,type
0.1,0.9752507279197671,0.02,manifestos_multi,Filtered
0.1,0.9531907717871119,0.05,manifestos_multi,Filtered
0.1,0.9553088193850546,0.1,manifestos_multi,Filtered
0.1,0.9604102320269671,0.25,manifestos_multi,Filtered
0.1,0.9611045399422941,0.5,manifestos_multi,Filtered
0.1,0.9602490561176983,0.75,manifestos_multi,Filtered
0.3,0.9158989544490751,0.02,manifestos_multi,Filtered
0.3,0.8821487560705304,0.05,manifestos_multi,Filtered
0.3,0.9122513197528522,0.1,manifestos_multi,Filtered
0.3,0.9089794133642799,0.25,manifestos_multi,Filtered
0.3,0.9116133017612279,0.5,manifestos_multi,Filtered
0.3,0.9130301401968266,0.75,manifestos_multi,Filtered
0.5,0.8921763743310778,0.02,manifestos_multi,Filtered
0.5,0.9348675025384392,0.05,manifestos_multi,Filtered
0.5,0.9305557778682852,0.1,manifestos_multi,Filtered
0.5,0.9299532560279309,0.25,manifestos_multi,Filtered
0.5,0.9316290548394637,0.5,manifestos_multi,Filtered
0.5,0.9327845391108708,0.75,manifestos_multi,Filtered
0.7,0.9714061448755327,0.02,manifestos_multi,Filtered
0.7,0.9605341346805257,0.05,manifestos_multi,Filtered
0.7,0.9481242324464116,0.1,manifestos_multi,Filtered
0.7,0.955604904191824,0.25,manifestos_multi,Filtered
0.7,0.9551226887143055,0.5,manifestos_multi,Filtered
0.7,0.9571725648367271,0.75,manifestos_multi,Filtered
0.9,0.887691955076782,0.02,manifestos_multi,Filtered
0.9,0.8782556429666135,0.05,manifestos_multi,Filtered
0.9,0.8933559516776778,0.1,manifestos_multi,Filtered
0.9,0.902808472403541,0.25,manifestos_multi,Filtered
0.9,0.9035690246676767,0.5,manifestos_multi,Filtered
0.9,0.903919356428006,0.75,manifestos_multi,Filtered
1.1,0.900738911504254,0.02,manifestos_multi,Filtered
1.1,0.9066916151238471,0.05,manifestos_multi,Filtered
1.1,0.9050449181775788,0.1,manifestos_multi,Filtered
1.1,0.9147253102924872,0.25,manifestos_multi,Filtered
1.1,0.9123403435973381,0.5,manifestos_multi,Filtered
1.1,0.912965101813398,0.75,manifestos_multi,Filtered
1.3,0.9112097669256382,0.02,manifestos_multi,Filtered
1.3,0.8850538555071085,0.05,manifestos_multi,Filtered
1.3,0.89137912206229,0.1,manifestos_multi,Filtered
1.3,0.8981883451598367,0.25,manifestos_multi,Filtered
1.3,0.8951504638517169,0.5,manifestos_multi,Filtered
1.3,0.8966962677411394,0.75,manifestos_multi,Filtered
1.5,0.8984828201695672,0.02,manifestos_multi,Filtered
1.5,0.9144589331771427,0.05,manifestos_multi,Filtered
1.5,0.9168092333789376,0.1,manifestos_multi,Filtered
1.5,0.9101355185857906,0.25,manifestos_multi,Filtered
1.5,0.9136360953264416,0.5,manifestos_multi,Filtered
1.5,0.9135622809069812,0.75,manifestos_multi,Filtered
1.7,0.9301199710231991,0.02,manifestos_multi,Filtered
1.7,0.8973110402787553,0.05,manifestos_multi,Filtered
1.7,0.9090927018513837,0.1,manifestos_multi,Filtered
1.7,0.9095332398119272,0.25,manifestos_multi,Filtered
1.7,0.9064321553412734,0.5,manifestos_multi,Filtered
1.7,0.9101146273182089,0.75,manifestos_multi,Filtered
1.9,0.9118355009049689,0.02,manifestos_multi,Filtered
1.9,0.8982988605065616,0.05,manifestos_multi,Filtered
1.9,0.9003152708976372,0.1,manifestos_multi,Filtered
1.9,0.902686671852647,0.25,manifestos_multi,Filtered
1.9,0.8966545419264075,0.5,manifestos_multi,Filtered
1.9,0.9000703924065686,0.75,manifestos_multi,Filtered
2.1,0.938759421627442,0.02,manifestos_multi,Filtered
2.1,0.9343629979068574,0.05,manifestos_multi,Filtered
2.1,0.9187896508024423,0.1,manifestos_multi,Filtered
2.1,0.9231156571005987,0.25,manifestos_multi,Filtered
2.1,0.9230842188555046,0.5,manifestos_multi,Filtered
2.1,0.925547802331089,0.75,manifestos_multi,Filtered
2.3,0.9173290937996821,0.02,manifestos_multi,Filtered
2.3,0.9208977225727828,0.05,manifestos_multi,Filtered
2.3,0.9265759510446798,0.1,manifestos_multi,Filtered
2.3,0.9210079245635039,0.25,manifestos_multi,Filtered
2.3,0.9176456491688916,0.5,manifestos_multi,Filtered
2.3,0.9192953219954014,0.75,manifestos_multi,Filtered
2.5,0.9221717141901332,0.02,manifestos_multi,Filtered
2.5,0.912177106666836,0.05,manifestos_multi,Filtered
2.5,0.9160844480827118,0.1,manifestos_multi,Filtered
2.5,0.9114976506838638,0.25,manifestos_multi,Filtered
2.5,0.9071813901899938,0.5,manifestos_multi,Filtered
2.5,0.9089515485257781,0.75,manifestos_multi,Filtered
2.7,0.9437964181368067,0.02,manifestos_multi,Filtered
2.7,0.9275631349678135,0.05,manifestos_multi,Filtered
2.7,0.9146038308733732,0.1,manifestos_multi,Filtered
2.7,0.8951935044424095,0.25,manifestos_multi,Filtered
2.7,0.8955368984726093,0.5,manifestos_multi,Filtered
2.7,0.8972005512709175,0.75,manifestos_multi,Filtered
2.9,0.8637225963916657,0.02,manifestos_multi,Filtered
2.9,0.8952859607971242,0.05,manifestos_multi,Filtered
2.9,0.8951083954552363,0.1,manifestos_multi,Filtered
2.9,0.8961707667983365,0.25,manifestos_multi,Filtered
2.9,0.9012906908382831,0.5,manifestos_multi,Filtered
2.9,0.9003157933658459,0.75,manifestos_multi,Filtered
3.1,0.912425015266353,0.02,manifestos_multi,Filtered
3.1,0.9256922119814405,0.05,manifestos_multi,Filtered
3.1,0.9288487013441087,0.1,manifestos_multi,Filtered
3.1,0.9292510401052283,0.25,manifestos_multi,Filtered
3.1,0.9244131789851278,0.5,manifestos_multi,Filtered
3.1,0.9239193365815398,0.75,manifestos_multi,Filtered
3.3,0.9288162768839499,0.02,manifestos_multi,Filtered
3.3,0.897029106788107,0.05,manifestos_multi,Filtered
3.3,0.8963683855004088,0.1,manifestos_multi,Filtered
3.3,0.8942345108862436,0.25,manifestos_multi,Filtered
3.3,0.8944872275886586,0.5,manifestos_multi,Filtered
3.3,0.8967843678666101,0.75,manifestos_multi,Filtered
3.5,0.9371106851940585,0.02,manifestos_multi,Filtered
3.5,0.9083960837714592,0.05,manifestos_multi,Filtered
3.5,0.880924642038891,0.1,manifestos_multi,Filtered
3.5,0.8834801320475325,0.25,manifestos_multi,Filtered
3.5,0.8882642389174503,0.5,manifestos_multi,Filtered
3.5,0.8889255209943323,0.75,manifestos_multi,Filtered
3.7,0.9156366935026647,0.02,manifestos_multi,Filtered
3.7,0.900164431943152,0.05,manifestos_multi,Filtered
3.7,0.8793193360236836,0.1,manifestos_multi,Filtered
3.7,0.8914799644012612,0.25,manifestos_multi,Filtered
3.7,0.8897184320092717,0.5,manifestos_multi,Filtered
3.7,0.883750329696383,0.75,manifestos_multi,Filtered
3.9,0.7723369888633852,0.02,manifestos_multi,Filtered
3.9,0.8789121691908229,0.05,manifestos_multi,Filtered
3.9,0.8859121111542937,0.1,manifestos_multi,Filtered
3.9,0.8907231650710876,0.25,manifestos_multi,Filtered
3.9,0.9001415993980013,0.5,manifestos_multi,Filtered
3.9,0.9003418236314216,0.75,manifestos_multi,Filtered
4.1,0.8862595669523124,0.02,manifestos_multi,Filtered
4.1,0.8789506328710502,0.05,manifestos_multi,Filtered
4.1,0.8735558501190951,0.1,manifestos_multi,Filtered
4.1,0.8756713193632645,0.25,manifestos_multi,Filtered
4.1,0.8745907453110638,0.5,manifestos_multi,Filtered
4.1,0.8717946714894061,0.75,manifestos_multi,Filtered
4.3,0.9003444316877153,0.02,manifestos_multi,Filtered
4.3,0.8772784418882457,0.05,manifestos_multi,Filtered
4.3,0.8649954478142658,0.1,manifestos_multi,Filtered
4.3,0.8779059929339466,0.25,manifestos_multi,Filtered
4.3,0.8734158789610076,0.5,manifestos_multi,Filtered
4.3,0.8759096643517413,0.75,manifestos_multi,Filtered
4.5,0.9491288639100762,0.02,manifestos_multi,Filtered
4.5,0.9202874324138512,0.05,manifestos_multi,Filtered
4.5,0.9343375439220012,0.1,manifestos_multi,Filtered
4.5,0.9247118082904655,0.25,manifestos_multi,Filtered
4.5,0.92124024641285,0.5,manifestos_multi,Filtered
4.5,0.9206073342867183,0.75,manifestos_multi,Filtered
4.8,0.8083105549564913,0.02,manifestos_multi,Filtered
4.8,0.8141677582033179,0.05,manifestos_multi,Filtered
4.8,0.822365966835748,0.1,manifestos_multi,Filtered
4.8,0.8368528551580358,0.25,manifestos_multi,Filtered
4.8,0.8351481211997466,0.5,manifestos_multi,Filtered
4.8,0.8386825756618598,0.75,manifestos_multi,Filtered
5.0,0.8447534403669725,0.02,manifestos_multi,Filtered
5.0,0.8415882058179708,0.05,manifestos_multi,Filtered
5.0,0.8549442445782506,0.1,manifestos_multi,Filtered
5.0,0.856206560895827,0.25,manifestos_multi,Filtered
5.0,0.8505889398564583,0.5,manifestos_multi,Filtered
5.0,0.8492278560416487,0.75,manifestos_multi,Filtered
0.1,0.9625,0.02,manifestos,Filtered
0.1,0.9534883720930233,0.05,manifestos,Filtered
0.1,0.9350179799874921,0.1,manifestos,Filtered
0.1,0.9290160695096865,0.25,manifestos,Filtered
0.1,0.9302608124656735,0.5,manifestos,Filtered
0.1,0.9266126481728919,0.75,manifestos,Filtered
0.3,0.9626068376068376,0.02,manifestos,Filtered
0.3,0.9255781603199443,0.05,manifestos,Filtered
0.3,0.93064112102138,0.1,manifestos,Filtered
0.3,0.9180013305799469,0.25,manifestos,Filtered
0.3,0.920087648064136,0.5,manifestos,Filtered
0.3,0.9183792184429675,0.75,manifestos,Filtered
0.5,0.8877005347593583,0.02,manifestos,Filtered
