iteration,ka_mean,dataset,type
1,0.9641470944190901,manifestos_multi,Filtered
2,0.9702920560908441,manifestos_multi,Filtered
3,0.9729238312698124,manifestos_multi,Filtered
4,0.9729751345950294,manifestos_multi,Filtered
5,0.9741760475305089,manifestos_multi,Filtered
6,0.9749797143379045,manifestos_multi,Filtered
7,0.975744699393953,manifestos_multi,Filtered
8,0.9739990168840452,manifestos_multi,Filtered
9,0.9741986892573651,manifestos_multi,Filtered
10,0.9747315921302686,manifestos_multi,Filtered
11,0.9749980531954786,manifestos_multi,Filtered
12,0.9734577043351573,manifestos_multi,Filtered
13,0.9731927534926825,manifestos_multi,Filtered
14,0.9736259562051087,manifestos_multi,Filtered
15,0.9740336226271497,manifestos_multi,Filtered
16,0.974107848369207,manifestos_multi,Filtered
17,0.9738309038821035,manifestos_multi,Filtered
18,0.9743048559138356,manifestos_multi,Filtered
19,0.973519357795501,manifestos_multi,Filtered
20,0.9737777607459395,manifestos_multi,Filtered
21,0.9739301680710621,manifestos_multi,Filtered
22,0.974398087958489,manifestos_multi,Filtered
23,0.9747411977009716,manifestos_multi,Filtered
24,0.9746605808825024,manifestos_multi,Filtered
25,0.974858046674085,manifestos_multi,Filtered
26,0.9749412424767797,manifestos_multi,Filtered
27,0.9751827221331038,manifestos_multi,Filtered
28,0.9755564283250034,manifestos_multi,Filtered
29,0.9750716641683221,manifestos_multi,Filtered
1,0.920879540761092,manifestos,Filtered
2,0.9187866531850354,manifestos,Filtered
3,0.9115666398693688,manifestos,Filtered
4,0.914517569200063,manifestos,Filtered
5,0.9177860343751773,manifestos,Filtered
6,0.9209132055774369,manifestos,Filtered
7,0.9232653061224491,manifestos,Filtered
8,0.9230586356582173,manifestos,Filtered
9,0.9232347840342231,manifestos,Filtered
10,0.9245197061923417,manifestos,Filtered
11,0.9242000266621745,manifestos,Filtered
12,0.9225755513720878,manifestos,Filtered
13,0.9228431812071194,manifestos,Filtered
14,0.9230090245699926,manifestos,Filtered
15,0.9216557904484961,manifestos,Filtered
16,0.9220017095515715,manifestos,Filtered
17,0.9205199624536217,manifestos,Filtered
18,0.9213976077791811,manifestos,Filtered
19,0.9223144039125948,manifestos,Filtered
20,0.9237030724127561,manifestos,Filtered
21,0.9226878974061525,manifestos,Filtered
22,0.9226701507761008,manifestos,Filtered
23,0.9232058506167012,manifestos,Filtered
24,0.9232732222867397,manifestos,Filtered
25,0.9241048365846476,manifestos,Filtered
26,0.9241133629097821,manifestos,Filtered
27,0.9234613470254528,manifestos,Filtered
28,0.9232449087828065,manifestos,Filtered
29,0.9231953953548824,manifestos,Filtered
1,0.9958823563287895,mii_long,Filtered
2,0.9972647273701694,mii_long,Filtered
3,0.9979587863877714,mii_long,Filtered
4,0.9983729173162453,mii_long,Filtered
5,0.998644246064677,mii_long,Filtered
6,0.9988375004798052,mii_long,Filtered
7,0.9989848416980982,mii_long,Filtered
8,0.9990967164871326,mii_long,Filtered
9,0.9991854126760371,mii_long,Filtered
10,0.9992601835247809,mii_long,Filtered
11,0.9993220342142074,mii_long,Filtered
12,0.9987478880877951,mii_long,Filtered
13,0.9988376407990364,mii_long,Filtered
14,0.9989161355678022,mii_long,Filtered
15,0.9989824001399243,mii_long,Filtered
16,0.9990424671176192,mii_long,Filtered
17,0.9986450119502418,mii_long,Filtered
18,0.9987164231709896,mii_long,Filtered
19,0.9987801384621332,mii_long,Filtered
20,0.9988378323752999,mii_long,Filtered
21,0.9988892399157949,mii_long,Filtered
22,0.9989375443828746,mii_long,Filtered
23,0.9989819689474653,mii_long,Filtered
24,0.9990231697303861,mii_long,Filtered
25,0.9990606735076634,mii_long,Filtered
26,0.9990951786580962,mii_long,Filtered
27,0.9991272947303566,mii_long,Filtered
28,0.999157375054899,mii_long,Filtered
29,0.9991853310048439,mii_long,Filtered
1,1.0,mii,Filtered
2,1.0,mii,Filtered
3,1.0,mii,Filtered
4,1.0,mii,Filtered
5,1.0,mii,Filtered
6,1.0,mii,Filtered
7,1.0,mii,Filtered
8,1.0,mii,Filtered
9,1.0,mii,Filtered
10,1.0,mii,Filtered
11,1.0,mii,Filtered
12,1.0,mii,Filtered
13,1.0,mii,Filtered
14,1.0,mii,Filtered
15,1.0,mii,Filtered
16,1.0,mii,Filtered
17,1.0,mii,Filtered
18,1.0,mii,Filtered
19,1.0,mii,Filtered
20,1.0,mii,Filtered
21,1.0,mii,Filtered
22,1.0,mii,Filtered
23,0.9997143611003764,mii,Filtered
24,0.9997256010987052,mii,Filtered
25,0.999736076980256,mii,Filtered
26,0.999745863780691,mii,Filtered
27,0.9997549546489516,mii,Filtered
28,0.9997633950019061,mii,Filtered
29,0.999771324404741,mii,Filtered
1,0.9626522327469553,news_short,Filtered
2,0.9309474789067862,news_short,Filtered
3,0.9340087685422866,news_short,Filtered
4,0.9413572147137296,news_short,Filtered
5,0.9419849182650943,news_short,Filtered
6,0.9343572274954792,news_short,Filtered
7,0.9265886185978093,news_short,Filtered
8,0.9291542626991931,news_short,Filtered
9,0.9332368263759819,news_short,Filtered
10,0.9358233423709882,news_short,Filtered
11,0.9356384143984603,news_short,Filtered
12,0.9326579367879899,news_short,Filtered
13,0.9321596593902589,news_short,Filtered
14,0.9245367651329844,news_short,Filtered
15,0.9246799799544246,news_short,Filtered
16,0.926556503084375,news_short,Filtered
17,0.9266531347311934,news_short,Filtered
18,0.9250274083727338,news_short,Filtered
19,0.9266758295778909,news_short,Filtered
20,0.9259596229341865,news_short,Filtered
21,0.9245506774977086,news_short,Filtered
22,0.9245787873816586,news_short,Filtered
23,0.9235096584795486,news_short,Filtered
24,0.9230590416655067,news_short,Filtered
25,0.9233172154317686,news_short,Filtered
26,0.9246367851894984,news_short,Filtered
27,0.9254334411632175,news_short,Filtered
28,0.9224863238297997,news_short,Filtered
29,0.923039539076175,news_short,Filtered
1,0.9611404517373765,news,Filtered
2,0.9611839248863973,news,Filtered
3,0.9580632955603849,news,Filtered
4,0.9574239453914067,news,Filtered
5,0.955889851105419,news,Filtered
6,0.9565374644132928,news,Filtered
7,0.9566218551533817,news,Filtered
8,0.9570338875355786,news,Filtered
9,0.9560161600927282,news,Filtered
10,0.9555908692286597,news,Filtered
11,0.9555013055436425,news,Filtered
12,0.9560815886600446,news,Filtered
13,0.9550951863946281,news,Filtered
14,0.9537829162115693,news,Filtered
15,0.9535510125655702,news,Filtered
16,0.9525944268604851,news,Filtered
17,0.9528274307762175,news,Filtered
18,0.9535231774768769,news,Filtered
19,0.9534649231678891,news,Filtered
20,0.9533952076138691,news,Filtered
21,0.9537548947486029,news,Filtered
22,0.9536334224474847,news,Filtered
23,0.9534013534755572,news,Filtered
24,0.9524385171016253,news,Filtered
25,0.9523423095617674,news,Filtered
26,0.9515585063564057,news,Filtered
27,0.9517505832802989,news,Filtered
28,0.9519236736020132,news,Filtered
29,0.9513461441821724,news,Filtered
1,0.9444492590345783,stance_long,Filtered
2,0.9463938206726277,stance_long,Filtered
3,0.9503820207337795,stance_long,Filtered
4,0.945376219584873,stance_long,Filtered
5,0.9482559708577628,stance_long,Filtered
6,0.948567268270804,stance_long,Filtered
7,0.9467277995316113,stance_long,Filtered
8,0.9482565614550083,stance_long,Filtered
9,0.9510590045318307,stance_long,Filtered
10,0.9510407538858497,stance_long,Filtered
11,0.9528345118878402,stance_long,Filtered
12,0.9536082222536552,stance_long,Filtered
13,0.9541666130301123,stance_long,Filtered
14,0.9545803351280632,stance_long,Filtered
15,0.954919971997998,stance_long,Filtered
16,0.9561020155503146,stance_long,Filtered
17,0.9571659321200694,stance_long,Filtered
18,0.956835023103947,stance_long,Filtered
19,0.9564977877605554,stance_long,Filtered
20,0.9559094878764043,stance_long,Filtered
21,0.9570179661594838,stance_long,Filtered
22,0.9571806668612586,stance_long,Filtered
