id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,label
56,Covid,48,0,NA,NA,NA,mii
175,Coronavirus,48,0,NA,NA,NA,mii
330,Cost of living,32,0,NA,NA,NA,mii
114,Cost of living,32,0,NA,NA,NA,mii
105,The cost of living crisis,32,0,NA,NA,NA,mii
351,COVD19,48,0,NA,NA,NA,mii
251,Covid,48,0,NA,NA,NA,mii
224,Climate change,40,0,NA,NA,NA,mii
164,corona virus,48,0,NA,NA,NA,mii
471,The economy,26,0,NA,NA,NA,mii
303,immigrants crossing the English Channel,12,0,NA,NA,NA,mii
11,Covid-19,48,0,NA,NA,NA,mii
452,Coronavirus,48,0,NA,NA,NA,mii
145,Covid,48,0,NA,NA,NA,mii
201,covid,48,0,NA,NA,NA,mii
431,Economic,26,0,NA,NA,NA,mii
226,covid,48,0,NA,NA,NA,mii
171,covid,48,0,NA,NA,NA,mii
390,Covid variant,48,0,NA,NA,NA,mii
324,Rising prices of food .fuel e.t.c,32,0,NA,NA,NA,mii
229,Cost of living crisis,32,0,NA,NA,NA,mii
476,Covid control,48,0,NA,NA,NA,mii
97,Covid,48,0,NA,NA,NA,mii
221,Economy,26,0,NA,NA,NA,mii
20,Pandemic,48,0,NA,NA,NA,mii
345,Coronavirus,48,0,NA,NA,NA,mii
430,Covid,48,0,NA,NA,NA,mii
85,COVID-19,48,0,NA,NA,NA,mii
497,Climate change,40,0,NA,NA,NA,mii
240,Economy,26,0,NA,NA,NA,mii
54,Rising energy costs.,32,0,NA,NA,NA,mii
30,Covid,48,0,NA,NA,NA,mii
6,Covid 19,48,0,NA,NA,NA,mii
445,Covid,48,0,NA,NA,NA,mii
200,dealing with the pandemic,48,0,NA,NA,NA,mii
64,Brexit,15,0,NA,NA,NA,mii
484,Covid,48,0,NA,NA,NA,mii
383,COVID,48,0,NA,NA,NA,mii
151,COVID,48,0,NA,NA,NA,mii
199,Energy prices,32,0,NA,NA,NA,mii
254,The costs of covid,48,0,NA,NA,NA,mii
425,Cost of living,32,0,NA,NA,NA,mii
101,Rising costs,32,0,NA,NA,NA,mii
277,Price increases,32,0,NA,NA,NA,mii
315,price increases,32,0,NA,NA,NA,mii
358,Coronovirus,48,0,NA,NA,NA,mii
350,Covid,48,0,NA,NA,NA,mii
167,Cost of living,32,0,NA,NA,NA,mii
440,Climate change,40,0,NA,NA,NA,mii
361,Food and heating,32,0,NA,NA,NA,mii
434,Covid,48,0,NA,NA,NA,mii
348,Economy,26,0,NA,NA,NA,mii
197,Covid,48,0,NA,NA,NA,mii
409,COVID,48,0,NA,NA,NA,mii
86,economic recovery,26,0,NA,NA,NA,mii
255,Pandemic,48,0,NA,NA,NA,mii
288,Cost of living rise,32,0,NA,NA,NA,mii
58,Covid,48,0,NA,NA,NA,mii
398,Cost of living crisis,32,0,NA,NA,NA,mii
388,covid,48,0,NA,NA,NA,mii
206,economy,26,0,NA,NA,NA,mii
218,Covid_19,48,0,NA,NA,NA,mii
91,Covid,48,0,NA,NA,NA,mii
205,Covid,48,0,NA,NA,NA,mii
223,Cost of Energy,32,0,NA,NA,NA,mii
242,Economy,26,0,NA,NA,NA,mii
299,Border Control,12,0,NA,NA,NA,mii
222,finanaces,26,0,NA,NA,NA,mii
426,COVID-19,48,0,NA,NA,NA,mii
47,Climate change,40,0,NA,NA,NA,mii
104,Corona virus,48,0,NA,NA,NA,mii
327,Covid,48,0,NA,NA,NA,mii
128,Covid,48,0,NA,NA,NA,mii
122,Energy prices,32,0,NA,NA,NA,mii
313,Covid,48,0,NA,NA,NA,mii
0,Covid,48,0,NA,NA,NA,mii
318,Brexit,15,0,NA,NA,NA,mii
29,Corona virus pandemic,48,0,NA,NA,NA,mii
152,Recovery from covid,48,0,NA,NA,NA,mii
450,Covid,48,0,NA,NA,NA,mii
82,Covid 19,48,0,NA,NA,NA,mii
61,Cv19,48,0,NA,NA,NA,mii
246,Cost of living,32,0,NA,NA,NA,mii
249,Climate change,40,0,NA,NA,NA,mii
232,Climate Change,40,0,NA,NA,NA,mii
496,pandemic,48,0,NA,NA,NA,mii
309,covid,48,0,NA,NA,NA,mii
94,Covid,48,0,NA,NA,NA,mii
46,Cost of living crisis,32,0,NA,NA,NA,mii
342,COVID,48,0,NA,NA,NA,mii
89,Economy,26,0,NA,NA,NA,mii
39,Brexit.,15,0,NA,NA,NA,mii
62,Economy,26,0,NA,NA,NA,mii
110,Covid 19,48,0,NA,NA,NA,mii
477,Cost of living,32,0,NA,NA,NA,mii
32,eradicating Covid,48,0,NA,NA,NA,mii
162,rising prices/cost of living,32,0,NA,NA,NA,mii
481,Economy,26,0,NA,NA,NA,mii
176,N.Ireland Protocol,15,0,NA,NA,NA,mii
363,Covid,48,0,NA,NA,NA,mii
374,The coronavirus pandemic,48,0,NA,NA,NA,mii
35,Brexit,15,0,NA,NA,NA,mii
55,Cost of living,32,0,NA,NA,NA,mii
312,COVID,48,0,NA,NA,NA,mii
429,Economy,26,0,NA,NA,NA,mii
168,Covid,48,0,NA,NA,NA,mii
202,Recovery from pandemic,48,0,NA,NA,NA,mii
333,Covid,48,0,NA,NA,NA,mii
489,Covid 19 Omicron variant,48,0,NA,NA,NA,mii
367,Covid 19,48,0,NA,NA,NA,mii
354,Economy,26,0,NA,NA,NA,mii
264,Cost of living,32,0,NA,NA,NA,mii
169,COVID,48,0,NA,NA,NA,mii
467,Covid,48,0,NA,NA,NA,mii
93,Covid,48,0,NA,NA,NA,mii
103,Cost of living,32,0,NA,NA,NA,mii
427,covid,48,0,NA,NA,NA,mii
178,Climate change,40,0,NA,NA,NA,mii
405,Climate change,40,0,NA,NA,NA,mii
479,Migrants,12,0,NA,NA,NA,mii
136,covid,48,0,NA,NA,NA,mii
346,Covid omicron,48,0,NA,NA,NA,mii
153,Covid,48,0,NA,NA,NA,mii
436,covid 19,48,0,NA,NA,NA,mii
211,economy,26,0,NA,NA,NA,mii
362,Covid 19,48,0,NA,NA,NA,mii
4,The cost of living,32,0,NA,NA,NA,mii
179,the new covid,48,0,NA,NA,NA,mii
90,Cost of living,32,0,NA,NA,NA,mii
265,Economy,26,0,NA,NA,NA,mii
353,COVID,48,0,NA,NA,NA,mii
27,Financial situations,32,0,NA,NA,NA,mii
63,the economy,26,0,NA,NA,NA,mii
334,cost of living,32,0,NA,NA,NA,mii
130,Coping with Brexit,15,0,NA,NA,NA,mii
67,Cost of living,32,0,NA,NA,NA,mii
95,Covid,48,0,NA,NA,NA,mii
468,Climate change,40,0,NA,NA,NA,mii
375,Pandemic,48,0,NA,NA,NA,mii
194,Covid,48,0,NA,NA,NA,mii
116,The pandemic,48,0,NA,NA,NA,mii
83,Cost of living,32,0,NA,NA,NA,mii
391,cost of living,32,0,NA,NA,NA,mii
126,Covid,48,0,NA,NA,NA,mii
262,Covid,48,0,NA,NA,NA,mii
245,Rising cost of living,32,0,NA,NA,NA,mii
289,Cost of living,32,0,NA,NA,NA,mii
261,covid,48,0,NA,NA,NA,mii
332,COVID Issues,48,0,NA,NA,NA,mii
365,Covid,48,0,NA,NA,NA,mii
177,cost of living crisis,32,0,NA,NA,NA,mii
359,COVID,48,0,NA,NA,NA,mii
488,Covid 19,48,0,NA,NA,NA,mii
183,Coronavirus,48,0,NA,NA,NA,mii
298,Economy,26,0,NA,NA,NA,mii
291,the economy,26,0,NA,NA,NA,mii
36,Cost of living,32,0,NA,NA,NA,mii
125,Cost of living,32,0,NA,NA,NA,mii
59,Covid,48,0,NA,NA,NA,mii
19,Climate change,40,0,NA,NA,NA,mii
372,illegal immigration,12,0,NA,NA,NA,mii
196,Recovering from Coronavirus,48,0,NA,NA,NA,mii
308,covid,48,0,NA,NA,NA,mii
15,economy,26,0,NA,NA,NA,mii
214,Covid,48,0,NA,NA,NA,mii
460,Covid,48,0,NA,NA,NA,mii
294,Covid,48,0,NA,NA,NA,mii
228,covid 19,48,0,NA,NA,NA,mii
420,COVID 19,48,0,NA,NA,NA,mii
78,Covid,48,0,NA,NA,NA,mii
275,covid,48,0,NA,NA,NA,mii
389,Covid 19,48,0,NA,NA,NA,mii
217,Lockdown,48,0,NA,NA,NA,mii
53,Covid,48,0,NA,NA,NA,mii
441,PANDEMIC,48,0,NA,NA,NA,mii
444,COVID,48,0,NA,NA,NA,mii
499,covid restrictions,48,0,NA,NA,NA,mii
349,Cost of living,32,0,NA,NA,NA,mii
185,Covid,48,0,NA,NA,NA,mii
118,Cost of living,32,0,NA,NA,NA,mii
406,Covid,48,0,NA,NA,NA,mii
485,covid,48,0,NA,NA,NA,mii
386,Economy,26,0,NA,NA,NA,mii
295,Covid-19,48,0,NA,NA,NA,mii
282,Covid,48,0,NA,NA,NA,mii
462,Relationship with the EU,15,0,NA,NA,NA,mii
483,coronavirus,48,0,NA,NA,NA,mii
99,Climate change,40,0,NA,NA,NA,mii
404,Cost of living,32,0,NA,NA,NA,mii
432,Coronavirus,48,0,NA,NA,NA,mii
182,COVID 19,48,0,NA,NA,NA,mii
139,Covid 19,48,0,NA,NA,NA,mii
250,Climate change,40,0,NA,NA,NA,mii
293,covid,48,0,NA,NA,NA,mii
76,Climate change,40,0,NA,NA,NA,mii
44,Covid,48,0,NA,NA,NA,mii
66,The economy,26,0,NA,NA,NA,mii
459,Corona virus,48,0,NA,NA,NA,mii
113,Economy,26,0,NA,NA,NA,mii
150,Covid-19,48,0,NA,NA,NA,mii
161,Imigrants,12,0,NA,NA,NA,mii
322,COVID-19,48,0,NA,NA,NA,mii
486,COVID-19,48,0,NA,NA,NA,mii
77,The economy,26,0,NA,NA,NA,mii
18,Covid-19,48,0,NA,NA,NA,mii
331,Climate change,40,0,NA,NA,NA,mii
385,Covid 19,48,0,NA,NA,NA,mii
237,Cost of living,32,0,NA,NA,NA,mii
399,climate change,40,0,NA,NA,NA,mii
191,Coronavirus,48,0,NA,NA,NA,mii
10,Covid,48,0,NA,NA,NA,mii
320,Energy prices,32,0,NA,NA,NA,mii
356,Cost of living,32,0,NA,NA,NA,mii
186,Climate change,40,0,NA,NA,NA,mii
380,cost of living going up,32,0,NA,NA,NA,mii
474,Economic recovery,26,0,NA,NA,NA,mii
463,covid,48,0,NA,NA,NA,mii
347,Cost of living,32,0,NA,NA,NA,mii
225,The Environment,40,0,NA,NA,NA,mii
379,Covid,48,0,NA,NA,NA,mii
135,Coronavirus,48,0,NA,NA,NA,mii
25,Covid-19,48,0,NA,NA,NA,mii
297,the economy,26,0,NA,NA,NA,mii
394,COVID 19,48,0,NA,NA,NA,mii
326,Covid,48,0,NA,NA,NA,mii
26,Covid 19,48,0,NA,NA,NA,mii
424,Covid,48,0,NA,NA,NA,mii
12,Covid,48,0,NA,NA,NA,mii
172,Brexit,15,0,NA,NA,NA,mii
439,Coronavirus,48,0,NA,NA,NA,mii
174,immigration,12,0,NA,NA,NA,mii
234,Covid,48,0,NA,NA,NA,mii
487,Covid,48,0,NA,NA,NA,mii
274,Economy,26,0,NA,NA,NA,mii
189,coronoa virus,48,0,NA,NA,NA,mii
73,Covid 19,48,0,NA,NA,NA,mii
187,Covid,48,0,NA,NA,NA,mii
352,The economy,26,0,NA,NA,NA,mii
111,Covid,48,0,NA,NA,NA,mii
23,illegal migrants,12,0,NA,NA,NA,mii
339,Covid,48,0,NA,NA,NA,mii
494,The Brexit deal,15,0,NA,NA,NA,mii
142,COVID pandemic,48,0,NA,NA,NA,mii
446,migrants,12,0,NA,NA,NA,mii
117,coronavirus,48,0,NA,NA,NA,mii
109,covid,48,0,NA,NA,NA,mii
163,Brexit,15,0,NA,NA,NA,mii
13,coved19,48,0,NA,NA,NA,mii
464,Coronavirus,48,0,NA,NA,NA,mii
14,Covid,48,0,NA,NA,NA,mii
410,immigration,12,0,NA,NA,NA,mii
