id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,label
33,The economy,26,0,NA,NA,NA,mii_long
69,Recovering from Coronavirus,48,0,NA,NA,NA,mii_long
325,covid,48,0,NA,NA,NA,mii_long
453,COVID pandemic,48,0,NA,NA,NA,mii_long
199,Brexit,15,0,NA,NA,NA,mii_long
438,covid,48,0,NA,NA,NA,mii_long
209,Covid,48,0,NA,NA,NA,mii_long
190,covid,48,0,NA,NA,NA,mii_long
185,Covid,48,0,NA,NA,NA,mii_long
322,Covid,48,0,NA,NA,NA,mii_long
236,Economy,26,0,NA,NA,NA,mii_long
71,Covid,48,0,NA,NA,NA,mii_long
485,NHS,1,0,NA,NA,NA,mii_long
366,NHS is a disaster,1,0,NA,NA,NA,mii_long
85,Covid,48,0,NA,NA,NA,mii_long
355,Pandemic,48,0,NA,NA,NA,mii_long
183,Boris Johnson,5,0,NA,NA,NA,mii_long
241,Economy,26,0,NA,NA,NA,mii_long
391,price of energy,32,0,NA,NA,NA,mii_long
9,Cost of living,32,0,NA,NA,NA,mii_long
444,Conservative government,5,0,NA,NA,NA,mii_long
477,covid,48,0,NA,NA,NA,mii_long
228,Government leadership,5,0,NA,NA,NA,mii_long
481,covid,48,0,NA,NA,NA,mii_long
316,COVID,48,0,NA,NA,NA,mii_long
385,cost of living crisis,32,0,NA,NA,NA,mii_long
479,Covid 19,48,0,NA,NA,NA,mii_long
102,Covid-19,48,0,NA,NA,NA,mii_long
0,Economy,26,0,NA,NA,NA,mii_long
263,Immigration,12,0,NA,NA,NA,mii_long
437,Covid,48,0,NA,NA,NA,mii_long
93,covid,48,0,NA,NA,NA,mii_long
205,Cost of living,32,0,NA,NA,NA,mii_long
450,Covid,48,0,NA,NA,NA,mii_long
339,COVID,48,0,NA,NA,NA,mii_long
5,Covid,48,0,NA,NA,NA,mii_long
422,COVID-19,48,0,NA,NA,NA,mii_long
449,Brexit,15,0,NA,NA,NA,mii_long
87,The Environment,40,0,NA,NA,NA,mii_long
204,covid,48,0,NA,NA,NA,mii_long
201,brexit,15,0,NA,NA,NA,mii_long
384,THE ECONOMY,26,0,NA,NA,NA,mii_long
232,brexit,15,0,NA,NA,NA,mii_long
140,Covid,48,0,NA,NA,NA,mii_long
121,Covid,48,0,NA,NA,NA,mii_long
225,Covid,48,0,NA,NA,NA,mii_long
421,economy,26,0,NA,NA,NA,mii_long
105,Immigration,12,0,NA,NA,NA,mii_long
217,Brexit,15,0,NA,NA,NA,mii_long
340,Covid,48,0,NA,NA,NA,mii_long
425,Coronavirus,48,0,NA,NA,NA,mii_long
353,Covid,48,0,NA,NA,NA,mii_long
247,covid,48,0,NA,NA,NA,mii_long
72,COVID,48,0,NA,NA,NA,mii_long
64,Economy,26,0,NA,NA,NA,mii_long
23,underlying health probems that have not been dealt with during the pandemic,1,0,NA,NA,NA,mii_long
370,economy,26,0,NA,NA,NA,mii_long
7,the economy,26,0,NA,NA,NA,mii_long
8,NHS,1,0,NA,NA,NA,mii_long
3,immigration,12,0,NA,NA,NA,mii_long
109,Covid,48,0,NA,NA,NA,mii_long
67,Cost of living,32,0,NA,NA,NA,mii_long
397,covid,48,0,NA,NA,NA,mii_long
375,Economy,26,0,NA,NA,NA,mii_long
394,Cost of living,32,0,NA,NA,NA,mii_long
431,Covid 19,48,0,NA,NA,NA,mii_long
468,Covid,48,0,NA,NA,NA,mii_long
461,Brexit,15,0,NA,NA,NA,mii_long
110,recovering from covid,48,0,NA,NA,NA,mii_long
99,Cost of Living,32,0,NA,NA,NA,mii_long
25,Covid-19,48,0,NA,NA,NA,mii_long
467,COVID,48,0,NA,NA,NA,mii_long
482,covid,48,0,NA,NA,NA,mii_long
291,Economy,26,0,NA,NA,NA,mii_long
337,brexit,15,0,NA,NA,NA,mii_long
35,Covid,48,0,NA,NA,NA,mii_long
10,COVID,48,0,NA,NA,NA,mii_long
58,Covid 19,48,0,NA,NA,NA,mii_long
377,The cost of living,32,0,NA,NA,NA,mii_long
132,Covid,48,0,NA,NA,NA,mii_long
414,covid,48,0,NA,NA,NA,mii_long
277,Covid,48,0,NA,NA,NA,mii_long
278,cost of living,32,0,NA,NA,NA,mii_long
212,Inflation,31,0,NA,NA,NA,mii_long
386,inflation,31,0,NA,NA,NA,mii_long
160,Covid and it's repercussions,48,0,NA,NA,NA,mii_long
170,Cost of living,32,0,NA,NA,NA,mii_long
238,Covid,48,0,NA,NA,NA,mii_long
81,Economy,26,0,NA,NA,NA,mii_long
203,Cost of living,32,0,NA,NA,NA,mii_long
244,Cost of living,32,0,NA,NA,NA,mii_long
51,Virus,48,0,NA,NA,NA,mii_long
176,Cost of Living increases,32,0,NA,NA,NA,mii_long
342,COVID,48,0,NA,NA,NA,mii_long
288,Covid,48,0,NA,NA,NA,mii_long
382,Covid-19,48,0,NA,NA,NA,mii_long
30,Cost of living,32,0,NA,NA,NA,mii_long
122,Economy,26,0,NA,NA,NA,mii_long
440,Economy,26,0,NA,NA,NA,mii_long
268,Covid,48,0,NA,NA,NA,mii_long
206,Corona virus,48,0,NA,NA,NA,mii_long
68,Covid,48,0,NA,NA,NA,mii_long
166,Inflation,31,0,NA,NA,NA,mii_long
332,The economy,26,0,NA,NA,NA,mii_long
487,Economy,26,0,NA,NA,NA,mii_long
15,The economy,26,0,NA,NA,NA,mii_long
260,environment,40,0,NA,NA,NA,mii_long
270,NHS waiting lists,1,0,NA,NA,NA,mii_long
32,immigration,12,0,NA,NA,NA,mii_long
408,Coronavirus,48,0,NA,NA,NA,mii_long
315,Ecomomy,26,0,NA,NA,NA,mii_long
101,Coronavirus,48,0,NA,NA,NA,mii_long
376,Covid,48,0,NA,NA,NA,mii_long
360,covid,48,0,NA,NA,NA,mii_long
317,N H S,1,0,NA,NA,NA,mii_long
395,immigration,12,0,NA,NA,NA,mii_long
346,Covid,48,0,NA,NA,NA,mii_long
74,Covid,48,0,NA,NA,NA,mii_long
150,Rising prices for living,32,0,NA,NA,NA,mii_long
341,The costs of covid,48,0,NA,NA,NA,mii_long
48,Immigration,12,0,NA,NA,NA,mii_long
174,Covid,48,0,NA,NA,NA,mii_long
