id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,label
0,@OutFrontCNN @CNN u cant lift sanctions & then slap then back on right away. Who's that foolish? Or deceitful? #IranTalks #SemST,0,0,NA,NA,NA,stance
1,@thehill you continue to shoot yourself in the foot. I guess this is for entertainment purposes only! #SemST,0,0,NA,NA,NA,stance
2,"@ZekeJMiller @Reince @SharonDay GOP plan to stop Trump? LOL Maybe they can put up loser candidates like Romney, McCain and Jeb! #SemST",0,0,NA,NA,NA,stance
3,@realDonaldTrump I don't care what @NASCAR says! I dont care what the liberals at @espn say.. Keep Speaking The TRUTH!! #SemST,1,0,NA,NA,NA,stance
4,Macy's to stop selling Trump merch. I guess he'll sue them next. #SemST,0,0,NA,NA,NA,stance
5,"Donald Trump gets the boot from #NBC for calling immigrants rapists and murderers. Hey Donnie, where's your wife from again? #SemST",0,0,NA,NA,NA,stance
6,"#DanaPerino is getting more snitful by the minute. Says Trump isn't believable, can't win. Hide&watch! #MakeAmericaGreatAgain #SemST",0,0,NA,NA,NA,stance
7,@realDonaldTrump it's crazy how cowardly these big corporations are. I swear I'm campaigning for you !!!!! #SemST,0,0,NA,NA,NA,stance
8,@Macys not selling Trump because he voices his opinion.. What happy to freedom of speech.. I'll never shop at @Macys again.. #SemST,0,0,NA,NA,NA,stance
9,The more I read how NBC and Macy's are cutting ties with @realDonaldTrump the more I'm convinced he should be president.  #SemST,1,0,NA,NA,NA,stance
10,Radical Islam is still a threat to the Western World!!!! #awareness #PATRIOT #UnitedWeStand #SemST,0,0,NA,NA,NA,stance
11,"@TuckerCarlson #GayMarriage is the ""law of the land"" yet #immigration law is ignored. Absurd! #LobotomizedLiberals #LiberalLogic #SemST",0,0,NA,NA,NA,stance
12,"We the people has become ""We the sheeple""  #SemST",0,0,NA,NA,NA,stance
13,Apparently #Trump values riches so much he can't afford values. #Trumpelstiltskin #SemST,0,0,NA,NA,NA,stance
14,@realDonaldTrump Really? The perfect definition of ignorance... The perfect example of someone who does not know reality... #SemST,0,0,NA,NA,NA,stance
15,I suddenly find myself liking @nbc a whole lot more than ever before.forPresidentoftheClubofIdiots #SemST,1,0,NA,NA,NA,stance
16,Why is it wrong when Trump is stating facts about illegal immigrants??? He is 100% Right #SemST,0,0,NA,NA,NA,stance
17,Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment  #SemST,0,0,NA,NA,NA,stance
18,@RWSurferGirl it's not a racial tragedy nor an Islamic one either. Only patriots care for all. #SemST,0,0,NA,NA,NA,stance
19,Healthcare in America must be fixed. Women are everything.  #TeamJason  #SemST,0,0,NA,NA,NA,stance
20,@GeraldoRivera @realDonaldTrump Don't apologize for the truth. People are too sensitive. #MakeAmericaGreatAgain #SemST,1,0,NA,NA,NA,stance
21,@VLActionFund @Reince The same #RNC LOSERS that thought Romney & Palin were good choices needs to be THANKFUL Trump came along  #SemST,0,0,NA,NA,NA,stance
22,"Honestly I am gonna watch #Univision so much more now, just to support the network against #SemST",1,0,NA,NA,NA,stance
23,Will FOX News pick up #MissUSA and #MissUniverse?  Stay tuned to find out.  #YoureFired #NBC #FoxNews #SemST,1,0,NA,NA,NA,stance
24,Hey @MayorGregor thanks for letting a racist bigot build a giant tower with his name on it downtown. Real proud of ya. #SemST,0,0,NA,NA,NA,stance
25,"For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump #SemST",0,0,NA,NA,NA,stance
26,"Spine, I would like for you to meet the Republican Party.  #SemST",1,0,NA,NA,NA,stance
