dataset,type,cumulative_final_alpha,cumulative_final_ci_lower,cumulative_final_ci_upper,cumulative_final_ci_width,cumulative_run_count_to_estimate_stability,cumulative_run_count_to_precision_stability,cumulative_max_abs_deviation_from_final,adjacent_mean_alpha,adjacent_sd_alpha,adjacent_iqr_alpha,adjacent_min_alpha,adjacent_max_alpha,adjacent_share_below_threshold,adjacent_mean_ci_width
tweets_rd,Filtered,0.9526626529438884,0.9442657252496636,0.9616081664346072,0.017342441184943658,3,21.0,0.012631688965617838,0.9511871362650216,0.026882091022839904,0.041050322131167216,0.8967398221506733,1.0,0.0,0.1197412163020772
tweets_rd,Filtered & Balanced,0.9525984495685847,0.9444303593954004,0.9613135588801788,0.016883199484778344,3,21.0,0.013647243158010802,0.9514256860685768,0.026756845600829436,0.0414817161146972,0.8983845203039363,1.0,0.0,0.11948312383941291
tweets_pop,Filtered,0.9468441075053864,0.9378836480850152,0.9567440322293396,0.018860384144324338,11,27.0,0.05315589249461361,0.9507506009878381,0.022394991949218197,0.02100618815741795,0.914427383997187,1.0,0.0,0.12483023484156527
tweets_pop,Filtered & Balanced,0.9465667505965129,0.937498726152626,0.956159268995057,0.018660542842431016,12,27.0,0.05343324940348715,0.9508508975017748,0.02243018805305918,0.021642608482878356,0.9156832298475922,1.0,0.0,0.1249755428058371
news,Filtered,0.9513510271180338,0.9477288525747884,0.9551246190367794,0.007395766461990916,4,6.0,0.010181643344135405,0.9539512146150563,0.012668244141663655,0.02181813465306881,0.93419745393981,0.9739722587117764,0.0,0.061568690414070114
news,Filtered & Balanced,0.9513041830131372,0.9478741871471628,0.954992860546514,0.0071186733993512386,4,6.0,0.010514938603165547,0.9537191361212806,0.012695867407301786,0.023693711767121317,0.9339927810869424,0.972745301902034,0.0,0.06139803902969962
news_short,Filtered,0.9231167154215352,0.9134770810379104,0.9334808186566372,0.02000373761872687,13,,0.039215696166658875,0.9320214726761135,0.037294251947735564,0.053431678076391154,0.8460986207377702,0.9820924071763109,0.0,0.14855296527011658
news_short,Filtered & Balanced,0.9230018154806592,0.9132587255171364,0.9347169188258226,0.021458193308686258,13,,0.040180091155105235,0.9322534615232246,0.03696277631284732,0.05487207184709919,0.8490349700336901,0.9823927798090692,0.0,0.14852279462805631
manifestos,Filtered,0.923230569479728,0.9173477309552552,0.9290790367933904,0.011731305838135198,5,12.0,0.012666201717749237,0.9239349229060629,0.017294846240467624,0.01711558833598059,0.8834987905421083,0.9570965188855388,0.0,0.10079217745740349
manifestos,Filtered & Balanced,0.9232363753475384,0.9179247935598563,0.92857691119996,0.010652117640103653,5,11.0,0.011669270082801053,0.9239760614295833,0.017526096999127192,0.01884482899708062,0.88236485137615,0.9578035898062324,0.0,0.1005078451163396
