id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,label,run_count,cumulative_ka_mean,cumulative_ka_lower,cumulative_ka_upper,adjacent_reference_iteration,adjacent_ka_mean,adjacent_ka_lower,adjacent_ka_upper
316,Climate change,40,0,,,,mii,1,,,,,,,
64,Brexit,15,0,,,,mii,1,,,,,,,
22,Coronavirus,48,0,,,,mii,1,,,,,,,
227,Covid,48,0,,,,mii,1,,,,,,,
335,economic recovery,26,0,,,,mii,1,,,,,,,
490,Cost of living,32,0,,,,mii,1,,,,,,,
383,COVID,48,0,,,,mii,1,,,,,,,
8,Coronarvius,48,0,,,,mii,1,,,,,,,
419,The economy,26,0,,,,mii,1,,,,,,,
440,Climate change,40,0,,,,mii,1,,,,,,,
211,economy,26,0,,,,mii,1,,,,,,,
192,Brexit,15,0,,,,mii,1,,,,,,,
288,Cost of living rise,32,0,,,,mii,1,,,,,,,
426,COVID-19,48,0,,,,mii,1,,,,,,,
252,Economy,26,0,,,,mii,1,,,,,,,
73,Covid 19,48,0,,,,mii,1,,,,,,,
294,Covid,48,0,,,,mii,1,,,,,,,
234,Covid,48,0,,,,mii,1,,,,,,,
233,Price rises,32,0,,,,mii,1,,,,,,,
251,Covid,48,0,,,,mii,1,,,,,,,
344,Covid19,48,0,,,,mii,1,,,,,,,
493,Covid-19,48,0,,,,mii,1,,,,,,,
162,rising prices/cost of living,32,0,,,,mii,1,,,,,,,
394,COVID 19,48,0,,,,mii,1,,,,,,,
49,illegal immigration,12,0,,,,mii,1,,,,,,,
387,Economy,26,0,,,,mii,1,,,,,,,
31,Economic recovery,26,0,,,,mii,1,,,,,,,
469,the cost of living,32,0,,,,mii,1,,,,,,,
225,The Environment,40,0,,,,mii,1,,,,,,,
15,economy,26,0,,,,mii,1,,,,,,,
374,The coronavirus pandemic,48,0,,,,mii,1,,,,,,,
475,Covid,48,0,,,,mii,1,,,,,,,
238,Covid 19 and the variants,48,0,,,,mii,1,,,,,,,
48,Covid,48,0,,,,mii,1,,,,,,,
118,Cost of living,32,0,,,,mii,1,,,,,,,
196,Recovering from Coronavirus,48,0,,,,mii,1,,,,,,,
484,Covid,48,0,,,,mii,1,,,,,,,
153,Covid,48,0,,,,mii,1,,,,,,,
479,Migrants,12,0,,,,mii,1,,,,,,,
451,brexit,15,0,,,,mii,1,,,,,,,
221,Economy,26,0,,,,mii,1,,,,,,,
441,PANDEMIC,48,0,,,,mii,1,,,,,,,
220,covid,48,0,,,,mii,1,,,,,,,
146,economy,26,0,,,,mii,1,,,,,,,
240,Economy,26,0,,,,mii,1,,,,,,,
342,COVID,48,0,,,,mii,1,,,,,,,
30,Covid,48,0,,,,mii,1,,,,,,,
78,Covid,48,0,,,,mii,1,,,,,,,
57,COVID 19,48,0,,,,mii,1,,,,,,,
414,COVID,48,0,,,,mii,1,,,,,,,
299,Border Control,12,0,,,,mii,1,,,,,,,
29,Corona virus pandemic,48,0,,,,mii,1,,,,,,,
315,price increases,32,0,,,,mii,1,,,,,,,
272,Coronavirus,48,0,,,,mii,1,,,,,,,
173,Covid,48,0,,,,mii,1,,,,,,,
25,Covid-19,48,0,,,,mii,1,,,,,,,
82,Covid 19,48,0,,,,mii,1,,,,,,,
112,Corona,48,0,,,,mii,1,,,,,,,
76,Climate change,40,0,,,,mii,1,,,,,,,
346,Covid omicron,48,0,,,,mii,1,,,,,,,
174,immigration,12,0,,,,mii,1,,,,,,,
274,Economy,26,0,,,,mii,1,,,,,,,
40,Climate change,40,0,,,,mii,1,,,,,,,
102,covid,48,0,,,,mii,1,,,,,,,
191,Coronavirus,48,0,,,,mii,1,,,,,,,
439,Coronavirus,48,0,,,,mii,1,,,,,,,
177,cost of living crisis,32,0,,,,mii,1,,,,,,,
130,Coping with Brexit,15,0,,,,mii,1,,,,,,,
95,Covid,48,0,,,,mii,1,,,,,,,
148,Covid,48,0,,,,mii,1,,,,,,,
486,COVID-19,48,0,,,,mii,1,,,,,,,
406,Covid,48,0,,,,mii,1,,,,,,,
396,Covid 19,48,0,,,,mii,1,,,,,,,
481,Economy,26,0,,,,mii,1,,,,,,,
