id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,run_count,cumulative_ka_mean,cumulative_ka_lower,cumulative_ka_upper,adjacent_reference_iteration,adjacent_ka_mean,adjacent_ka_lower,adjacent_ka_upper
0,Economy,26,0,,,,1,,,,,,,
1,Poor Government,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
2,COVID 19,48,0,,,,1,,,,,,,
3,immigration,12,0,,,,1,,,,,,,
4,The cost of living crisis,32 for Living costs,0,,,,1,,,,,,,
5,Covid,48,0,,,,1,,,,,,,
6,coved19,48 for Coronavirus,0,,,,1,,,,,,,
7,the economy,26,0,,,,1,,,,,,,
8,NHS,1,0,,,,1,,,,,,,
9,Cost of living,32,0,,,,1,,,,,,,
10,COVID,48,0,,,,1,,,,,,,
11,Cost of living,32,0,,,,1,,,,,,,
12,Global warming,40 Environment,0,,,,1,,,,,,,
13,Immigration,12,0,,,,1,,,,,,,
14,underfunded nhs,1,0,,,,1,,,,,,,
15,The economy,26,0,,,,1,,,,,,,
16,cost of living energy prices,32,0,,,,1,,,,,,,
17,Corruption in parliament,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
18,Covid,48,0,,,,1,,,,,,,
19,COVID,48,0,,,,1,,,,,,,
20,War in Ukraine,22 for War,0,,,,1,,,,,,,
21,Brexit & Covid,"15, 48",0,,,,1,,,,,,,
22,the Ukraine conflict,22 for War,0,,,,1,,,,,,,
23,underlying health probems that have not been dealt with during the pandemic,1,0,,,,1,,,,,,,
24,Economy,26,0,,,,1,,,,,,,
25,Covid-19,48,0,,,,1,,,,,,,
26,covid 19,48,0,,,,1,,,,,,,
27,COVID-19,48,0,,,,1,,,,,,,
28,Cost of living,32,0,,,,1,,,,,,,
29,Immigration,12,0,,,,1,,,,,,,
30,Cost of living,32,0,,,,1,,,,,,,
31,Brexit,15,0,,,,1,,,,,,,
32,immigration,12,0,,,,1,,,,,,,
33,The economy,26,0,,,,1,,,,,,,
34,crime,"I'm sorry, but I need the actual open-ended response in order to categorize it. Could you please provide the text response?",0,,,,1,,,,,,,
35,Covid,48,0,,,,1,,,,,,,
36,Cover 19 Indian strain,48 for Coronavirus,0,,,,1,,,,,,,
37,EU aggression,22 War,0,,,,1,,,,,,,
38,COVID 19,48 (Coronavirus),0,,,,1,,,,,,,
39,rejoining the eu,15 for Europe,0,,,,1,,,,,,,
40,Recovery from Covid-19,48 - Coronavirus,0,,,,1,,,,,,,
41,Covid,48,0,,,,1,,,,,,,
42,Cost of Living,32,0,,,,1,,,,,,,
43,Rising living costs,32 for Living costs,0,,,,1,,,,,,,
44,This lying cheating dishonest government,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
45,illegal migrants,12 for Immigration,0,,,,1,,,,,,,
46,covie vir 19,48 for Coronavirus,0,,,,1,,,,,,,
47,Economic recovery,26 for Economy-general,0,,,,1,,,,,,,
48,Immigration,12,0,,,,1,,,,,,,
49,Corona virus pandemic,48,0,,,,1,,,,,,,
50,COVID,48,0,,,,1,,,,,,,
51,Virus,48,0,,,,1,,,,,,,
52,Cost of Living,32,0,,,,1,,,,,,,
53,Climate change,40 Environment,0,,,,1,,,,,,,
54,Brexit,15,0,,,,1,,,,,,,
55,Covid,48,0,,,,1,,,,,,,
56,Covid,48,0,,,,1,,,,,,,
57,Covid hoax,48 for Coronavirus,0,,,,1,,,,,,,
58,Covid 19,48,0,,,,1,,,,,,,
59,Rising prices,31 - Inflation,0,,,,1,,,,,,,
60,Pandemic,48,0,,,,1,,,,,,,
61,Covid 19,48,0,,,,1,,,,,,,
62,NHS backlog,1,0,,,,1,,,,,,,
63,immigraation,12,0,,,,1,,,,,,,
64,Economy,26,0,,,,1,,,,,,,
65,Economy,26,0,,,,1,,,,,,,
66,Coronavirus,48,0,,,,1,,,,,,,
67,Cost of living,32,0,,,,1,,,,,,,
68,Covid,48,0,,,,1,,,,,,,
69,Recovering from Coronavirus,48,0,,,,1,,,,,,,
70,economy,26,0,,,,1,,,,,,,
71,Covid,48,0,,,,1,,,,,,,
72,COVID,48,0,,,,1,,,,,,,
73,Cost of living,32,0,,,,1,,,,,,,
74,Covid,48,0,,,,1,,,,,,,
75,price increases,31 for Inflation,0,,,,1,,,,,,,
76,covid,48,0,,,,1,,,,,,,
77,Covid-19,48,0,,,,1,,,,,,,
78,Elitism and corruption,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
79,SLEEZE,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
80,Health crisis,1,0,,,,1,,,,,,,
81,Economy,26,0,,,,1,,,,,,,
82,cost of living,32,0,,,,1,,,,,,,
83,Covid,48,0,,,,1,,,,,,,
84,Covid 19,48,0,,,,1,,,,,,,
85,Covid,48,0,,,,1,,,,,,,
86,Incompetent & dishonest government,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
87,The Environment,40,0,,,,1,,,,,,,
88,Cost Of Livinf Crisis and inflation,"32, 31",0,,,,1,,,,,,,
89,effects of covid,48,0,,,,1,,,,,,,
90,illegal immigration,12,0,,,,1,,,,,,,
91,Covid,48,0,,,,1,,,,,,,
92,Covid,48,0,,,,1,,,,,,,
93,covid,48,0,,,,1,,,,,,,
94,covid,48,0,,,,1,,,,,,,
95,Covid,48,0,,,,1,,,,,,,
96,The pandemic,48 for Coronavirus,0,,,,1,,,,,,,
97,omnicrom virus,48 for Coronavirus,0,,,,1,,,,,,,
98,Effects of the war in Ukraine,22 for War,0,,,,1,,,,,,,
99,Cost of Living,32,0,,,,1,,,,,,,
100,the virus,48,0,,,,1,,,,,,,
101,Coronavirus,48,0,,,,1,,,,,,,
102,Covid-19,48,0,,,,1,,,,,,,
103,Covid,48,0,,,,1,,,,,,,
104,Covid,48,0,,,,1,,,,,,,
105,Immigration,12,0,,,,1,,,,,,,
106,Corona virus,48,0,,,,1,,,,,,,
107,Covid,48,0,,,,1,,,,,,,
108,Immigration,12,0,,,,1,,,,,,,
109,Covid,48,0,,,,1,,,,,,,
110,recovering from covid,48,0,,,,1,,,,,,,
111,rising cost of living,32 for Living costs,0,,,,1,,,,,,,
112,COVID,48,0,,,,1,,,,,,,
113,Climate change,40 Environment,0,,,,1,,,,,,,
114,Russia invading Ukraine,22 War,0,,,,1,,,,,,,
115,Rise in living costs,32 for Living costs,0,,,,1,,,,,,,
116,Covid,48,0,,,,1,,,,,,,
117,Coronavirus,48,0,,,,1,,,,,,,
118,Cost of living crisis,32 for Living costs,0,,,,1,,,,,,,
119,Covid,48,0,,,,1,,,,,,,
120,Rising cost of living,32 for Living costs,0,,,,1,,,,,,,
121,Covid,48,0,,,,1,,,,,,,
122,Economy,26,0,,,,1,,,,,,,
123,Economy,26,0,,,,1,,,,,,,
124,Covid 19,48,0,,,,1,,,,,,,
125,Climate change,40 Environment,0,,,,1,,,,,,,
126,Cost of living,32,0,,,,1,,,,,,,
127,Covid,48,0,,,,1,,,,,,,
128,Cost of living crisis,32 for Living costs,0,,,,1,,,,,,,
129,Covid,48,0,,,,1,,,,,,,
130,Cost of living,32,0,,,,1,,,,,,,
131,Recovering from the virus,48 - Coronavirus,0,,,,1,,,,,,,
132,Covid,48,0,,,,1,,,,,,,
133,Covid,48,0,,,,1,,,,,,,
134,Crime,"- ""The rise in crime rates across the country is very concerning.""
- ""I believe addressing crime and improving public safety should be the top priority for the government.""
- ""The issue of crime, especially in urban areas, needs to be tackled more effectively.""",0,,,,1,,,,,,,
135,Crime,"- ""The rise in crime rates across the country is very concerning.""
- ""I believe addressing crime and improving public safety should be the top priority for the government.""
- ""The issue of crime, especially in urban areas, needs to be tackled more effectively.""",0,,,,1,,,,,,,
136,COVID 19,48 (Coronavirus),0,,,,1,,,,,,,
137,Covid,48,0,,,,1,,,,,,,
138,Protecting the environment,40 for Environment,0,,,,1,,,,,,,
139,healthcare,1,0,,,,1,,,,,,,
140,Covid,48,0,,,,1,,,,,,,
141,Covid,48,0,,,,1,,,,,,,
142,Government corruption,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
143,Climate change,40 Environment,0,,,,1,,,,,,,
144,covid,48,0,,,,1,,,,,,,
145,Living costs,"""It's becoming increasingly difficult to afford basic necessities like housing and groceries. Something needs to be done to address the rising living costs in this country."" - Living costs",0,,,,1,,,,,,,
146,illegal immigration,12,0,,,,1,,,,,,,
147,covid,48,0,,,,1,,,,,,,
148,Health,1,0,,,,1,,,,,,,
149,inflation,31,0,,,,1,,,,,,,
150,Rising prices for living,32,0,,,,1,,,,,,,
151,Covid 19,48,0,,,,1,,,,,,,
152,illegal immigrants,12 for Immigration,0,,,,1,,,,,,,
153,economic recovery,26 - Economy-general,0,,,,1,,,,,,,
154,rising prices/cost of living,32 for Living costs,0,,,,1,,,,,,,
155,health,1,0,,,,1,,,,,,,
156,Coping with Brexit,15,0,,,,1,,,,,,,
