id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,run_count,cumulative_ka_mean,cumulative_ka_lower,cumulative_ka_upper,adjacent_reference_iteration,adjacent_ka_mean,adjacent_ka_lower,adjacent_ka_upper
0,Covid,48,0,,,,1,,,,,,,
1,Immigration,,0,,,,1,,,,,,,
2,Overpopulation,40 Environment,0,,,,1,,,,,,,
3,cost of living energy prices,32,0,,,,1,,,,,,,
4,The cost of living,32,0,,,,1,,,,,,,
5,Economy,26,0,,,,1,,,,,,,
6,Covid 19,48,0,,,,1,,,,,,,
7,Covid,48,0,,,,1,,,,,,,
8,Coronarvius,48,0,,,,1,,,,,,,
9,Covid,48,0,,,,1,,,,,,,
10,Covid,48,0,,,,1,,,,,,,
11,Covid-19,48,0,,,,1,,,,,,,
12,Covid,48,0,,,,1,,,,,,,
13,coved19,48,0,,,,1,,,,,,,
14,Covid,48,0,,,,1,,,,,,,
15,economy,26,0,,,,1,,,,,,,
16,Energy prices,32,0,,,,1,,,,,,,
17,Cost of living.,32,0,,,,1,,,,,,,
18,Covid-19,48,0,,,,1,,,,,,,
19,Climate change,40,0,,,,1,,,,,,,
20,Pandemic,48,0,,,,1,,,,,,,
21,Global warming,40 Environment,0,,,,1,,,,,,,
22,Coronavirus,48,0,,,,1,,,,,,,
23,illegal migrants,12,0,,,,1,,,,,,,
24,Coronavirus,48,0,,,,1,,,,,,,
25,Covid-19,48,0,,,,1,,,,,,,
26,Covid 19,48,0,,,,1,,,,,,,
27,Financial situations,32,0,,,,1,,,,,,,
28,Covid,48,0,,,,1,,,,,,,
29,Corona virus pandemic,48,0,,,,1,,,,,,,
30,Covid,48,0,,,,1,,,,,,,
31,Economic recovery,26,0,,,,1,,,,,,,
32,eradicating Covid,48,0,,,,1,,,,,,,
33,consequences of brexit/Russian aggression,15,0,,,,1,,,,,,,
34,covid,48,0,,,,1,,,,,,,
35,Brexit,15,0,,,,1,,,,,,,
36,Cost of living,32,0,,,,1,,,,,,,
37,immigration,,0,,,,1,,,,,,,
38,Economy,26,0,,,,1,,,,,,,
39,Brexit.,15,0,,,,1,,,,,,,
40,Climate change,40,0,,,,1,,,,,,,
41,Covid,48,0,,,,1,,,,,,,
42,Pandemic,48,0,,,,1,,,,,,,
43,Cost of Living,Living costs,0,,,,1,,,,,,,
44,Covid,48,0,,,,1,,,,,,,
45,Cost of Living,Living costs,0,,,,1,,,,,,,
46,Cost of living crisis,32,0,,,,1,,,,,,,
47,Climate change,40,0,,,,1,,,,,,,
48,Covid,48,0,,,,1,,,,,,,
49,illegal immigration,12,0,,,,1,,,,,,,
50,Environment,"""The most important issue facing the country is the urgent need to address climate change and protect our environment for future generations.""",0,,,,1,,,,,,,
51,Covid,48,0,,,,1,,,,,,,
52,COVID,48,0,,,,1,,,,,,,
53,Covid,48,0,,,,1,,,,,,,
54,Rising energy costs.,32,0,,,,1,,,,,,,
55,Cost of living,32,0,,,,1,,,,,,,
56,Covid,48,0,,,,1,,,,,,,
57,COVID 19,48,0,,,,1,,,,,,,
58,Covid,48,0,,,,1,,,,,,,
59,Covid,48,0,,,,1,,,,,,,
60,Inaction on climate change,40 Environment,0,,,,1,,,,,,,
61,Cv19,48,0,,,,1,,,,,,,
62,Economy,26,0,,,,1,,,,,,,
63,the economy,26,0,,,,1,,,,,,,
64,Brexit,15,0,,,,1,,,,,,,
65,omnicrom virus,48,0,,,,1,,,,,,,
66,The economy,26,0,,,,1,,,,,,,
67,Cost of living,32,0,,,,1,,,,,,,
68,Cost of living and paying bills,32,0,,,,1,,,,,,,
69,ECONOMY RISING PRICES,32,0,,,,1,,,,,,,
70,Cost of living crisis,32,0,,,,1,,,,,,,
71,COVID-19,Respond 48 for Coronavirus,0,,,,1,,,,,,,
72,covid,48,0,,,,1,,,,,,,
73,Covid 19,48,0,,,,1,,,,,,,
74,Financial,Living costs,0,,,,1,,,,,,,
75,Cost of living,32,0,,,,1,,,,,,,
76,Climate change,40,0,,,,1,,,,,,,
77,The economy,26,0,,,,1,,,,,,,
78,Covid,48,0,,,,1,,,,,,,
79,Covid,48,0,,,,1,,,,,,,
80,Environmental,"- ""Climate change and protecting the environment for future generations.""
- ""The degradation of our natural resources and the impact of pollution on our health.""
- ""Preserving biodiversity and addressing the effects of deforestation and habitat destruction.""",0,,,,1,,,,,,,
81,Economy,26,0,,,,1,,,,,,,
82,Covid 19,48,0,,,,1,,,,,,,
83,Cost of living,32,0,,,,1,,,,,,,
84,Coronavirus,48,0,,,,1,,,,,,,
85,COVID-19,48,0,,,,1,,,,,,,
86,economic recovery,26,0,,,,1,,,,,,,
87,Economy,26,0,,,,1,,,,,,,
88,Cost of living,32,0,,,,1,,,,,,,
89,Economy,26,0,,,,1,,,,,,,
90,Cost of living,32,0,,,,1,,,,,,,
91,Covid,48,0,,,,1,,,,,,,
92,Cost of living,32,0,,,,1,,,,,,,
93,Covid,48,0,,,,1,,,,,,,
94,Covid,48,0,,,,1,,,,,,,
95,Covid,48,0,,,,1,,,,,,,
96,"Keeping covid at bay,unlocking the country",48 - Coronavirus,0,,,,1,,,,,,,
97,Covid,48,0,,,,1,,,,,,,
98,immigration,12,0,,,,1,,,,,,,
99,Climate change,40,0,,,,1,,,,,,,
100,Environment,"- ""Climate change and protecting the environment for future generations.""
- ""The degradation of our natural resources and the impact of pollution on our health.""
- ""Preserving biodiversity and addressing the effects of deforestation and habitat destruction.""
- ""The need for sustainable energy sources and reducing our carbon footprint.""
- ""Ensuring clean air and water for all citizens.""",0,,,,1,,,,,,,
101,Rising costs,32,0,,,,1,,,,,,,
102,covid,48,0,,,,1,,,,,,,
103,Cost of living,32,0,,,,1,,,,,,,
104,Corona virus,48,0,,,,1,,,,,,,
105,The cost of living crisis,32,0,,,,1,,,,,,,
106,Immigration,"- ""We need to address the immigration crisis and secure our borders.""
- ""Immigration policies need to be reformed to ensure safety and fairness for all.""
- ""The influx of immigrants is putting a strain on our resources and economy.""",0,,,,1,,,,,,,
107,Covid,48,0,,,,1,,,,,,,
108,Economy,26,0,,,,1,,,,,,,
109,covid,48,0,,,,1,,,,,,,
110,Covid 19,48,0,,,,1,,,,,,,
111,Covid,48,0,,,,1,,,,,,,
112,Corona,48,0,,,,1,,,,,,,
113,Economy,26,0,,,,1,,,,,,,
114,Cost of living,32,0,,,,1,,,,,,,
115,Economy,26,0,,,,1,,,,,,,
116,The pandemic,48,0,,,,1,,,,,,,
117,coronavirus,48,0,,,,1,,,,,,,
118,Cost of living,32,0,,,,1,,,,,,,
119,covid,48,0,,,,1,,,,,,,
120,The EU,15,0,,,,1,,,,,,,
121,The pandemic,48,0,,,,1,,,,,,,
122,Energy prices,32,0,,,,1,,,,,,,
123,Covid,48,0,,,,1,,,,,,,
124,Covid,48,0,,,,1,,,,,,,
125,Cost of living,32,0,,,,1,,,,,,,
126,Covid,48,0,,,,1,,,,,,,
127,covid,48,0,,,,1,,,,,,,
128,Covid,48,0,,,,1,,,,,,,
129,Global warming / Climate change,40,0,,,,1,,,,,,,
130,Coping with Brexit,15,0,,,,1,,,,,,,
131,Covid,48,0,,,,1,,,,,,,
132,COVID-19,48,0,,,,1,,,,,,,
133,Covid,48,0,,,,1,,,,,,,
134,COVID,48,0,,,,1,,,,,,,
135,Coronavirus,48,0,,,,1,,,,,,,
136,covid,48,0,,,,1,,,,,,,
137,Immigration,,0,,,,1,,,,,,,
138,Immigration,,0,,,,1,,,,,,,
139,Covid 19,48,0,,,,1,,,,,,,
140,Covid,48,0,,,,1,,,,,,,
141,Broken government promises and wasteful spending,26 - Economy-general,0,,,,1,,,,,,,
142,COVID pandemic,48,0,,,,1,,,,,,,
143,covid,48,0,,,,1,,,,,,,
144,climate change,40,0,,,,1,,,,,,,
145,Covid,48,0,,,,1,,,,,,,
146,economy,26,0,,,,1,,,,,,,
147,Brexit,15,0,,,,1,,,,,,,
148,Covid,48,0,,,,1,,,,,,,
149,Covid19,48,0,,,,1,,,,,,,
150,Covid-19,48,0,,,,1,,,,,,,
151,COVID,48,0,,,,1,,,,,,,
152,Recovery from covid,48,0,,,,1,,,,,,,
153,Covid,48,0,,,,1,,,,,,,
154,covid,48,0,,,,1,,,,,,,
155,Covid,48,0,,,,1,,,,,,,
156,Climate change,40,0,,,,1,,,,,,,
157,Brexit,15,0,,,,1,,,,,,,
158,rising prices,32,0,,,,1,,,,,,,
159,Immigration,,0,,,,1,,,,,,,
160,COVID-19,Respond 48 for Coronavirus.,0,,,,1,,,,,,,
161,Imigrants,12,0,,,,1,,,,,,,
162,rising prices/cost of living,32,0,,,,1,,,,,,,
163,Brexit,15,0,,,,1,,,,,,,
164,corona virus,48,0,,,,1,,,,,,,
165,Cost of living,32,0,,,,1,,,,,,,
166,Gas and electric price rise,32 for Living costs,0,,,,1,,,,,,,
167,Cost of living,32,0,,,,1,,,,,,,
168,Covid,48,0,,,,1,,,,,,,
169,COVID,48,0,,,,1,,,,,,,
170,covid,48,0,,,,1,,,,,,,
171,covid,48,0,,,,1,,,,,,,
172,Brexit,15,0,,,,1,,,,,,,
173,Covid,48,0,,,,1,,,,,,,
174,immigration,12,0,,,,1,,,,,,,
175,Coronavirus,48,0,,,,1,,,,,,,
176,N.Ireland Protocol,15,0,,,,1,,,,,,,
177,cost of living crisis,32,0,,,,1,,,,,,,
178,Climate change,40,0,,,,1,,,,,,,
179,the new covid,48,0,,,,1,,,,,,,
180,Coronavirus,48,0,,,,1,,,,,,,
181,Covid-19,48,0,,,,1,,,,,,,
182,COVID 19,48,0,,,,1,,,,,,,
183,Coronavirus,48,0,,,,1,,,,,,,
184,"Rising prices in electricity, petrol etc",32,0,,,,1,,,,,,,
185,Covid,48,0,,,,1,,,,,,,
186,Climate change,40,0,,,,1,,,,,,,
